Content,Emotion_actual,Emotion_predicted
forget I still have wash in my machine,worry,worry
miss nostalgia everyone please kick tushar,neutral,worry
i always disappoint people who get in my way everyone i m OUT i might disappoint everyone else here,worry,sadness
glad you re alright,neutral,worry
I m sure it s not what you think Is this really you i saw you couple of months back in NAIA be shy to approach 4 a pic,worry,worry
I be lose Please help me find a good home,neutral,worry
lunch then school,neutral,neutral
n o   t e x t,neutral,neutral
anyone s visialvoicemail work Have do the sync Turned off amp on But still not go Help,worry,worry
would Join you shop but i have work all weekend six degrees of seperation be confsuing,worry,neutral
Babes it be soo much fun Thank you so much for make that happen Had fun with the ladies too Time go to fast,happiness,worry
a tough day ahead,worry,worry
sleep amp why isn t my in my damn account BofA be trippin,worry,worry
day tell my students this be my last year here a lot of cry since,worry,sadness
I be afraid you ve have a bite of a fail as the last two recommendations aren t available in the UK,sadness,worry
sick the now,worry,worry
tyhra_renee Fa real Me n Shay be on the toilet all night Shlda knwn sumthin ws up whn they didn t crd us 4 our Scorpian bwl,neutral,worry
should of go to kirsty s for the night anything to get out of the house,neutral,neutral
time get my grizzly bear cd bite it wont read adventure tomorrow swine flu be scar me i still have a cold,worry,worry
That be pretty awesome on both our part but a person on a bike behind you say hello and leave before I recognize him,neutral,sadness
need some more aussies,neutral,worry
have geographie next and I HATE IT,hate,hate
smh Your whin with that comment,anger,neutral
n o   t e x t,sadness,neutral
the sniffle I SO don t want to get sick I don t need this,hate,worry
I do feel bad for him too Especially na ngayon pa siya nagrerehab siya and all Wrong time Still maybe he have it come,neutral,worry
need to buy a Tablet,neutral,worry
to final table but go out third Don t think I ll be get my free seat,worry,worry
alms ur tweet r all delicious Haha Since its about foodd Anyway gatau nih aku mau pindah dr binus,love,neutral
This weather suck,hate,hate
be so Damn bore waste of time 20 more minutes leave,hate,sadness
yea if i know yew want 2 go i would have tell yew,neutral,neutral
i know I don t want to be leave in our home by myself during the weekend,neutral,worry
the way home,neutral,neutral
I be completely enrapture by your fascinate update on your test What will I do now Oh wait Yeah Work Of course,sadness,worry
noo why what be you gon na do there wandelweekend,fun,worry
to third,neutral,worry
aww im sorry im home now hope your ok i love ya wifey lt 3 xx,sadness,love
that i wasn t include in the morcom garden quiz on facebook,worry,worry
why do you never buy bagels when i be tehre i feel so unloved haha,worry,sadness
believe this Shit I ve spend 30 minutes for for a snicker ice cream Seems like no one do then anymore,worry,sadness
AsiaRain22 the expensive of their workers welfare other than that they be the shit,sadness,worry
day Gt class not win,sadness,worry
can you send ringtones to iPhones Idk how to regular ringtones for it,neutral,neutral
miss my baby,sadness,sadness
gii help me i really wana find a gorgeous dress for prom not long mid length or short anywhere in the uk please help,worry,worry
really weird today,empty,worry
now know more than I ever want to know about the extinction of frog,worry,worry
me 2,worry,worry
jam be rubbish Anyone know what s go on on the A48 between Cowbridge and Cardiff We re stick both directions,sadness,worry
be waayy hungry oh fyi my work email be down again BLAH,worry,worry
My condolences,neutral,worry
isn t cut it right now,worry,worry
to car repair almost 600 dollars Shopping around for a better deal,sadness,worry
wan na watch PCD concert dad,worry,sadness
And most of us be go to be stick in an office some without windows,worry,sadness
